16870154338761;62
16870154339341;81
16870154339903;95
16870154340462;104
16870154341020;113
16870154341580;137
16870154342145;176
16870154342708;189
16870154343293;201
16870154343877;210
16870154344437;214
16870154344996;217
16870154345560;222
16870154346119;227
16870154346679;232
16870154347242;237
16870154347806;246
16870154348365;250
16870154348924;252
16870154349489;264
16870154350048;275
16870154350611;285
16870154351169;289
16870154351732;318
16870154352290;347
16870154352856;377
16870154353416;406
16870154353979;436
16870154354542;466
16870154355103;496
16870154355665;527
16870154356225;557
16870154356787;588
16870154357348;618
16870154357909;648
16870154358471;679
16870154359036;709
16870154359600;740
16870154360167;770
16870154360732;801
16870154361291;831
16870154361852;861
16870154362415;892
16870154362978;922
16870154363538;953
16870154364099;983
16870154364661;1013
16870154365223;1044
16870154365788;1074
16870154366352;1105
16870154366915;1135
16870154367475;1166
16870154368037;1195
16870154368596;1225
16870154369148;1255
16870154369702;1285
16870154370261;1315
16870154370816;1345
16870154371374;1375
16870154371927;1405
16870154372485;1436
16870154373040;1466
16870154373597;1496
16870154374152;1526
16870154374710;1556
16870154375265;1586
16870154375822;1616
16870154376379;1646
16870154376935;1676
16870154377489;1706
16870154378046;1737
16870154378601;1767
16870154379158;1797
16870154379713;1827
16870154380270;1857
16870154380824;1887
16870154381382;1917
16870154381937;1947
16870154382494;1978
16870154383049;2008
16870154383606;2038
16870154384161;2068
16870154384719;2098
16870154385273;2128
16870154385831;2158
16870154386385;2188
16870154386943;2218
16870154387496;2248
16870154388054;2278
16870154388609;2309
16870154389166;2339
16870154389722;2369
16870154390279;2400
16870154390834;2430
16870154391391;2461
16870154391945;2491
16870154392503;2521
16870154393058;2551
16870154393615;2582
16870154394170;2612
16870154394727;2643
16870154395280;2673
16870154395838;2704
16870154396394;2734
16870154396951;2754
16870154397506;2754
16870154402783;2785
16870154403346;2846
16870154403914;2992
16870154404477;3144
16870154405044;3304
16870154405609;3466
16870154406172;3627
16870154406737;3784
16870154407300;3943
16870154407864;4097
16870154408428;4258
16870154408991;4417
16870154409556;4574
16870154410123;4730
16870154410688;4897
16870154411252;5061
16870154411815;5231
16870154412380;5249
16870154413094;4425
16870154413659;3008
16870154414222;3002
16870154414815;3148
16870154415407;3267
16870154416009;3257
16870154416596;3328
16870154417197;3377
16870154417798;3430
16870154418392;3512
16870154418995;3559
16870154419593;3555
16870154420186;3577
16870154420759;3558
