16870155762038;22
16870155762615;62
16870155763177;76
16870155763739;90
16870155764299;104
16870155764859;118
16870155765420;133
16870155765983;120
16870155766548;126
16870155767128;135
16870155767714;136
16870155768275;137
16870155768834;137
16870155769396;138
16870155769958;150
16870155770517;152
16870155771076;153
16870155771636;154
16870155772199;154
16870155772759;155
16870155773323;155
16870155773885;157
16870155774452;162
16870155775014;174
16870155775578;176
16870155776141;187
16870155776707;190
16870155777269;193
16870155777832;199
16870155778396;204
16870155778957;208
16870155779522;218
16870155780082;220
16870155780648;238
16870155781225;245
16870155781803;250
16870155782378;255
16870155782944;255
16870155783514;255
16870155784082;255
16870155784646;255
16870155785213;255
16870155785778;255
16870155786343;255
16870155786904;255
16870155787468;255
16870155788032;255
16870155788595;255
16870155789171;255
16870155789740;255
16870155790307;297
16870155790877;460
16870155791438;620
16870155792000;775
16870155792561;821
16870155793165;1412
16870155793745;1530
16870155794329;1599
16870155794916;1599
16870155795504;1599
16870155796079;1599
